id,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating
419,GHS OCONEE MEMORIAL  HOSPITAL,298 MEMORIAL DRIVE,SENECA,SC,29672,OCONEE,8644823100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
420,"WESTFIELD MEMORIAL HOSPITAL, INC",189 EAST MAIN STREET,WESTFIELD,NY,14787,CHAUTAUQUA,7163264921,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
421,CAMPBELL COUNTY MEMORIAL HOSPITAL,501 SOUTH BURMA AVENUE,GILLETTE,WY,82716,CAMPBELL,3076881551,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2
422,ALTUS BAYTOWN HOSPITAL,1626 W BAKER RD,BAYTOWN,TX,77521,HARRIS,2818377600,Acute Care Hospitals,Physician,TRUE,,Not Available
423,OJAI VALLEY COMMUNITY HOSPITAL,1306 MARICOPA HWY,OJAI,CA,93023,VENTURA,8056402280,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
424,MONROE HOSPITAL,4011 S MONROE MEDICAL PARK BLVD,BLOOMINGTON,IN,47403,MONROE,8128251111,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available
425,CANDLER COUNTY HOSPITAL,400 CEDAR STREET,METTER,GA,30439,CANDLER,9126855741,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available
426,SHARON HOSPITAL,"50 HOSPITAL HILL ROAD, PO BOX 789",SHARON,CT,6069,LITCHFIELD,8603644228,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
427,ST ANTHONY SHAWNEE HOSPITAL,1102 W MACARTHUR,SHAWNEE,OK,74804,POTTAWATOMIE,4052732270,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
428,GOOD SAMARITAN HOSPITAL,1225 WILSHIRE BOULEVARD,LOS ANGELES,CA,90017,LOS ANGELES,2139772121,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
429,TURNING POINT HOSPITAL,3015 VETERANS PARKWAY,MOULTRIE,GA,31788,COLQUITT,2299854815,Acute Care Hospitals,Proprietary,FALSE,,Not Available
430,ERLANGER BLEDSOE HOSPITAL,71 WHEELERTOWN AVENUE,PIKEVILLE,TN,37367,BLEDSOE,4234472112,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,,Not Available
431,MARY BLACK HEALTH SYSTEM GAFFNEY,1530 N LIMESTONE ST,GAFFNEY,SC,29340,CHEROKEE,8644874271,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
432,LOWER KEYS MEDICAL CENTER,5900 COLLEGE ROAD,KEY WEST,FL,33040,MONROE,3052945531,Acute Care Hospitals,Proprietary,TRUE,TRUE,1
433,GOLDEN PLAINS COMMUNITY HOSPITAL,100 MEDICAL DRIVE,BORGER,TX,79007,HUTCHINSON,8062731100,Critical Access Hospitals,Proprietary,TRUE,TRUE,3
434,HENNEPIN COUNTY MEDICAL CENTER 1,701 PARK AVENUE,MINNEAPOLIS,MN,55415,HENNEPIN,6128733629,Acute Care Hospitals,Government - Local,TRUE,TRUE,2
435,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,"#4007 EST DIAMOND RUBY, CHRISTIANSTED",ST CROIX,VI,820,,3407786311,Acute Care Hospitals,Government - State,TRUE,TRUE,2
436,UNIV OF MD REHABILITATION &  ORTHOPAEDIC INSTITUTE,2200 KERNAN DRIVE,BALTIMORE,MD,21207,BALTIMORE CITY,4104486701,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,TRUE,Not Available
437,UNIVERSITY OF MISSOURI HEALTH CARE,ONE HOSPITAL DRIVE,COLUMBIA,MO,65212,BOONE,5738824141,Acute Care Hospitals,Government - State,TRUE,TRUE,2
438,PROVIDENCE REGIONAL MEDICAL CENTER EVERETT,1321 COLBY AVENUE,EVERETT,WA,98201,SNOHOMISH,4252612000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3
439,"MEMORIAL HEALTH UNIV MED CEN, INC",4700 WATERS AVENUE,SAVANNAH,GA,31403,CHATHAM,9123503691,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,2
440,TIPPAH COUNTY HOSPITAL,1005 CITY AVE NORTH,RIPLEY,MS,38663,TIPPAH,6628379221,Critical Access Hospitals,Government - Local,FALSE,TRUE,Not Available
441,TRACE REGIONAL HOSP AND SWING BED,1002 EAST MADISON STREET,HOUSTON,MS,38851,CHICKASAW,6624563700,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available
442,NORTH SHORE HEALTH,515 5TH AVE WEST,GRAND MARAIS,MN,55604,COOK,2183873040,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available
443,ORTONVILLE AREA HEALTH SERVICES,450 EASTVOLD AVE,ORTONVILLE,MN,56278,BIG STONE,3208392502,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available
444,SWEDISH AMERICAN HOSPITAL,1401 EAST STATE STREET,ROCKFORD,IL,61104,WINNEBAGO,8159684400,Acute Care Hospitals,Voluntary non-profit - Other,FALSE,TRUE,4
445,"VIA CHRISTI HOSPITAL MANHATTAN, INC",1823 COLLEGE AVE,MANHATTAN,KS,66502,RILEY,7857762831,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3
446,MAYO CLINIC HEALTH SYSTEM - ALBERT LEA,404 WEST FOUNTAIN STREET,ALBERT LEA,MN,56007,FREEBORN,5073776452,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
447,LONGVIEW REGIONAL MEDICAL CENTER,2901 N FOURTH ST,LONGVIEW,TX,75605,GREGG,9037581818,Acute Care Hospitals,Proprietary,TRUE,TRUE,4
448,ESSENTIA HEALTH VIRGINIA,901 9TH STREET NORTH,VIRGINIA,MN,55792,SAINT LOUIS,2187413340,Acute Care Hospitals,Government - Local,FALSE,TRUE,3
449,NOVANT HEALTH MATTHEWS MEDICAL CENTER,1500 MATTHEWS TWNSHP PRKWY BOX 3310,MATTHEWS,NC,28106,MECKLENBURG,7043846500,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4
450,GRANT MEMORIAL HOSPITAL,117 HOSPITAL DRIVE,PETERSBURG,WV,26847,GRANT,3042571026,Critical Access Hospitals,Government - Local,TRUE,TRUE,3
451,LAVACA MEDICAL CENTER,1400 NORTH TEXANA STREET,HALLETTSVILLE,TX,77964,LAVACA,3617983671,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available
452,ST FRANCIS-DOWNTOWN,ONE ST FRANCIS DR,GREENVILLE,SC,29601,GREENVILLE,8008055678,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
453,TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL,800 W RANDOL MILL RD,ARLINGTON,TX,76012,TARRANT,8175486100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
454,ABROM KAPLAN MEMORIAL HOSPITAL,1310 WEST SEVENTH STREET,KAPLAN,LA,70548,VERMILION,3376438300,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available
455,MANHATTAN SURGICAL HOSPITAL LLC,1829 COLLEGE AVENUE,MANHATTAN,KS,66502,RILEY,7857765100,Acute Care Hospitals,Physician,FALSE,TRUE,Not Available
456,EXCELA HEALTH WESTMORELAND HOSPITAL,532 WEST PITTSBURGH STREET,GREENSBURG,PA,15601,WESTMORELAND,4128325050,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4
457,BAY AREA MEDICAL CENTER,3100 SHORE DRIVE,MARINETTE,WI,54143,MARINETTE,7157356621,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
458,IROQUOIS MEMORIAL HOSPITAL,200 FAIRMAN STREET,WATSEKA,IL,60970,IROQUOIS,8154325201,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
459,HEYWOOD HOSPITAL,242 GREEN STREET,GARDNER,MA,1440,WORCESTER,9786323420,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
460,THEDACARE MEDICAL CENTER - BERLIN INC,225 MEMORIAL DRIVE,BERLIN,WI,54923,GREEN LAKE,9203611313,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
461,MOREHEAD MEMORIAL HOSPITAL,117 E KINGS HIGHWAY,EDEN,NC,27288,ROCKINGHAM,3366239711,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
462,BENSON HOSPITAL,450 SOUTH OCOTILLO AVENUE,BENSON,AZ,85602,COCHISE,5205862261,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available
463,KAISER FOUNDATION HOSPITAL-SAN JOSE,250 HOSPITAL PARKWAY,SAN JOSE,CA,95119,SANTA CLARA,4089727000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3
464,LOS ROBLES HOSPITAL & MEDICAL CENTER,215 W JANSS RD,THOUSAND OAKS,CA,91360,VENTURA,8054972727,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
465,RAINY LAKE MEDICAL CENTER,1400 HIGHWAY 71,INTERNATIONAL FALLS,MN,56649,KOOCHICHING,2182834481,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
466,ST MARGARETS HOSPITAL,600 E 1ST ST,SPRING VALLEY,IL,61362,BUREAU,8156641176,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
467,ASHTABULA COUNTY MEDICAL CENTER,2420 LAKE AVENUE,ASHTABULA,OH,44004,ASHTABULA,4409972262,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
468,PRESENCE SAINT JOSEPH MEDICAL CENTER,333 N MADISON,JOLIET,IL,60435,WILL,8157257133,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,2
469,ROCK COUNTY HOSPITAL,102 EAST SOUTH STREET,BASSETT,NE,68714,ROCK,4026843366,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available
470,KEOKUK AREA HOSPITAL,1600 MORGAN STREET,KEOKUK,IA,52632,LEE,3195247150,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
471,GHS GREER MEMORIAL HOSPITAL,830 SOUTH BUNCOMBE ROAD,GREER,SC,29650,GREENVILLE,8648488200,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,5
472,MINERS' COLFAX MEDICAL CENTER,203 HOSPITAL DRIVE,RATON,NM,87740,COLFAX,5754453661,Critical Access Hospitals,Government - State,TRUE,TRUE,3
473,CORONA REGIONAL MEDICAL CENTER,800 SOUTH MAIN STREET,CORONA,CA,92882,RIVERSIDE,9517374343,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
474,CAROLINAS HEALTHCARE SYSTEM STANLY,301 YADKIN ST,ALBEMARLE,NC,28001,STANLY,7049844000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
475,SHERIDAN COUNTY HOSPITAL,826  18TH STREET,HOXIE,KS,67740,SHERIDAN,7856753281,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available
476,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
477,COLLINGSWORTH GENERAL HOSPITAL,1013 15TH ST,WELLINGTON,TX,79095,COLLINGSWORTH,8064472521,Critical Access Hospitals,Proprietary,TRUE,TRUE,Not Available
478,STURGIS REGIONAL HOSPITAL,949 HARMON STREET,STURGIS,SD,57785,MEADE,6057202400,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,Not Available
479,METHODIST HOSPITAL,1305 N ELM ST,HENDERSON,KY,42420,HENDERSON,2708277700,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4
480,ST JOSEPH MEDICAL CENTER,2200 E WASHINGTON,BLOOMINGTON,IL,61701,MCLEAN,3096623311,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4
481,UNIVERSITY HOSPITAL MCDUFFIE,2460 WASHINGTON ROAD,THOMSON,GA,30824,MCDUFFIE,7065951411,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3
482,PUTNAM COUNTY MEMORIAL HOSPITAL,"1926 OAK STREET,  PO BOX 389",UNIONVILLE,MO,63565,PUTNAM,6609472411,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,Not Available
483,COMMUNITY HOSPITAL,901 MACARTHUR BLVD,MUNSTER,IN,46321,LAKE,2198361600,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
484,UNIVERSITY OF WASHINGTON MEDICAL CTR,1959 NE PACIFIC ST  BOX 356151,SEATTLE,WA,98195,KING,2065983300,Acute Care Hospitals,Government - State,TRUE,TRUE,5
485,TANNER MEDICAL CENTER VILLA RICA,601 DALLAS HIGHWAY,VILLA RICA,GA,30180,CARROLL,7704563101,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3
486,ALLIANCEHEALTH DURANT,1800 UNIVERSITY BOULEVARD,DURANT,OK,74702,BRYAN,4059243080,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
487,SHRINERS HOSPITAL FOR CHILDREN,1310 PUNAHOU STREET,HONOLULU,HI,96826,HONOLULU,8089414466,Childrens,Voluntary non-profit - Private,FALSE,TRUE,Not Available
488,WESTERN WISCONSIN HEALTH,1100 BERGSLIEN ST,BALDWIN,WI,54002,SAINT CROIX,7156841111,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
489,WILLIAMSON MEMORIAL HOSPITAL,859 ALDERSON STREET,WILLIAMSON,WV,25661,MINGO,3042352500,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
490,MEMORIAL HOSPITAL,4500 MEMORIAL DRIVE,BELLEVILLE,IL,62226,SAINT CLAIR,6182337750,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
491,MERCY GENERAL HOSPITAL,4001 J ST,SACRAMENTO,CA,95819,SACRAMENTO,9164534453,Acute Care Hospitals,Voluntary non-profit - Church,FALSE,TRUE,3
492,ESKENAZI HEALTH,720 ESKENAZI AVENUE,INDIANAPOLIS,IN,46202,MARION,3178804818,Acute Care Hospitals,Government - Local,TRUE,TRUE,2
493,WABASH GENERAL HOSPITAL 1,1418 COLLEGE DRIVE,MOUNT CARMEL,IL,62863,WABASH,6182628621,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,4
494,LARKIN COMMUNITY HOSPITAL,7031 SW 62ND AVE,SOUTH MIAMI,FL,33143,MIAMI-DADE,3052847500,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
495,ST VINCENT DUNN HOSPITAL INC,1600 23RD ST,BEDFORD,IN,47421,LAWRENCE,8122753331,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
496,CIBOLA GENERAL HOSPITAL,1016 E ROOSEVELT AVENUE,GRANTS,NM,87020,CIBOLA,5052874446,Critical Access Hospitals,Government - Local,TRUE,TRUE,3
497,HOUSTON PHYSICIANS' HOSPITAL,333 N TEXAS AVENUE,WEBSTER,TX,77598,HARRIS,2813351700,Acute Care Hospitals,Physician,TRUE,TRUE,Not Available
498,CROSSROADS COMMUNITY HOSPITAL,8 DOCTORS PARK ROAD,MOUNT VERNON,IL,62864,JEFFERSON,6182445500,Acute Care Hospitals,Proprietary,FALSE,TRUE,3
499,ST JAMES PARISH HOSPITAL,1645 LUTCHER AVENUE,LUTCHER,LA,70071,SAINT JAMES,2258695512,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3
500,LOGAN REGIONAL MEDICAL CENTER,20 HOSPITAL DRIVE,LOGAN,WV,25601,LOGAN,3048311101,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
501,MOUNT SINAI WEST,1000 TENTH AVENUE,NEW YORK,NY,10019,NEW YORK,2125234000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
502,GILA REGIONAL MEDICAL CENTER,1313 E 32ND ST,SILVER CITY,NM,88061,GRANT,5755384000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,4
503,HOUSTON METHODIST ST JOHN HOSPITAL,18300 ST JOHN DRIVE,NASSAU BAY,TX,77058,HARRIS,2813335503,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
504,UNITY MEDICAL CENTER,164 W 13TH STREET,GRAFTON,ND,58237,WALSH,7013521620,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,Not Available
505,INTEGRIS GROVE HOSPITAL,1001 EAST 18TH STREET,GROVE,OK,74344,DELAWARE,9187862243,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
506,HILL REGIONAL HOSPITAL,101 CIRCLE DRIVE,HILLSBORO,TX,76645,HILL,2545808500,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
507,BLAKE MEDICAL CENTER,2020 59TH ST W,BRADENTON,FL,34209,MANATEE,9417926611,Acute Care Hospitals,Proprietary,TRUE,TRUE,2
508,SANFORD BEMIDJI MEDICAL CENTER,1300 ANNE ST NW,BEMIDJI,MN,56601,BELTRAMI,2187515430,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
509,ST MARYS HOSPITAL,1800 E LAKE SHORE DR,DECATUR,IL,62521,MACON,2174647000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
510,MAYO CLINIC HLTH SYSTEM  FRANCISCAN MED CTR,700 WEST AVENUE SOUTH,LA CROSSE,WI,54601,LA CROSSE,6087850940,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
511,GRANT MEDICAL CENTER,111 SOUTH GRANT AVENUE,COLUMBUS,OH,43215,FRANKLIN,6145669978,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,2
512,HEMPHILL COUNTY HOSPITAL,1020 S 4TH ST,CANADIAN,TX,79014,HEMPHILL,8063236622,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available
513,GOOD SAMARITAN HEALTH CENTER,601 S CENTER AVE,MERRILL,WI,54452,LINCOLN,7155365511,Critical Access Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3
514,JERSEY COMMUNITY HOSPITAL,400 MAPLE SUMMIT ROAD,JERSEYVILLE,IL,62052,JERSEY,6184986402,Acute Care Hospitals,Government - Local,TRUE,TRUE,3
515,MIDWEST SURGICAL HOSPITAL LLC,7915 FARNAM DRIVE,OMAHA,NE,68114,DOUGLAS,4023991900,Acute Care Hospitals,Physician,FALSE,TRUE,Not Available
516,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU,AK,99801,JUNEAU,9077968900,Acute Care Hospitals,Government - Local,TRUE,TRUE,3
517,SALEM TOWNSHIP HOSPITAL,1201 RICKER DRIVE,SALEM,IL,62881,MARION,6185483194,Critical Access Hospitals,Government - Local,TRUE,TRUE,3
518,METHODIST RICHARDSON MEDICAL CENTER,2831 E PRESIDENT GEORGE BUSH HIGHWAY,RICHARDSON,TX,75082,DALLAS,4692041000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,4
519,MAYO CLINIC HEALTH SYSTEM IN EAU CLAIRE,1221 WHIPPLE ST,EAU CLAIRE,WI,54703,EAU CLAIRE,7158383311,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,5
520,SSM HEALTH ST FRANCIS HOSPITAL - MARYVILLE,2016 SOUTH MAIN ST,MARYVILLE,MO,64468,NODAWAY,6605622600,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4
521,LUTHERAN HOSPITAL OF INDIANA,7950 W JEFFERSON BLVD,FORT WAYNE,IN,46804,ALLEN,2604357001,Acute Care Hospitals,Proprietary,TRUE,TRUE,2
522,CAROLINAS HEALTHCARE SYSTEM LINCOLN,433 MCALISTER RD,LINCOLNTON,NC,28092,LINCOLN,9802122000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,4
523,AURORA MEMORIAL HOSPITAL BURLINGTON,252 MCHENRY ST,BURLINGTON,WI,53105,RACINE,2627676545,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
524,HARRIS HEALTH SYSTEM,2525 HOLLY HALL,HOUSTON,TX,77054,HARRIS,7135666417,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2
525,COMMUNITY HOSPITAL OF ANACONDA,401 W PENNSYLVANIA,ANACONDA,MT,59711,DEER LODGE,4065638500,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
526,INOVA FAIRFAX HOSPITAL,3300 GALLOWS ROAD,FALLS CHURCH,VA,22042,FAIRFAX,7037764001,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
527,"UNIVERSITY OF CINCINNATI MEDICAL CENTER, LLC",234 GOODMAN STREET,CINCINNATI,OH,45219,HAMILTON,5135841000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
528,MERCY HOSPITAL,2215 TRUXTUN AVENUE,BAKERSFIELD,CA,93301,KERN,6616325000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,2
529,TEXAS HEALTH HARRIS METHODIST FORT WORTH,1301 PENNSYLVANIA AVENUE,FORT WORTH,TX,76104,TARRANT,8172502100,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3
530,NORTHWOOD DEACONESS HEALTH CENTER,PO BOX 190,NORTHWOOD,ND,58267,GRAND FORKS,7015876060,Critical Access Hospitals,Voluntary non-profit - Church,TRUE,TRUE,Not Available
531,CHI HEALTH LAKESIDE,16901 LAKESIDE HILLS CT,OMAHA,NE,68130,DOUGLAS,4027178000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3
532,BERTRAND CHAFFEE HOSPITAL,224 EAST MAIN STREET,SPRINGVILLE,NY,14141,ERIE,7165922871,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
533,WYTHE COUNTY COMMUNITY HOSPITAL,600 WEST RIDGE ROAD,WYTHEVILLE,VA,24382,WYTHE,2762280200,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
534,NEWPORT COMMUNITY HOSPITAL,714 WEST PINE STREET,NEWPORT,WA,99156,PEND OREILLE,5094472441,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available
535,NELL J REDFIELD MEMORIAL HOSPITAL,150 NORTH 200 WEST,MALAD,ID,83252,ONEIDA,2087662231,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available
536,MERIT HEALTH WESLEY,5001 W HARDY ST,HATTIESBURG,MS,39402,FORREST,6012688000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
537,MIDMICHIGAN MEDICAL CENTER-GLADWIN,515 QUARTER STREET,GLADWIN,MI,48624,GLADWIN,9894269286,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
538,CAYUGA MEDICAL CENTER AT ITHACA,101 DATES DRIVE,ITHACA,NY,14850,TOMPKINS,6072744401,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
539,PROMEDICA HERRICK HOSPITAL,500 E POTTAWATAMIE STREET,TECUMSEH,MI,49286,LENAWEE,5174243000,Critical Access Hospitals,Government - Federal,TRUE,TRUE,3
540,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,AL,35653,FRANKLIN,2563321611,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
541,MARICOPA MEDICAL CENTER,2601 EAST ROOSEVELT STREET,PHOENIX,AZ,85008,MARICOPA,6023445011,Acute Care Hospitals,Government - Local,TRUE,TRUE,2
542,MEDINA HOSPITAL,1000 EAST WASHINGTON STREET,MEDINA,OH,44256,MEDINA,3307251000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
543,CHARLES COLE MEMORIAL HOSPITAL,1001 EAST SECOND STREET,COUDERSPORT,PA,16915,POTTER,8142749301,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3
544,COLORADO RIVER MEDICAL CENTER,1401 BAILEY AVE,NEEDLES,CA,92363,SAN BERNARDINO,7603264531,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
545,ST VINCENT HOSPITAL,835 S VAN BUREN ST,GREEN BAY,WI,54301,BROWN,9204330111,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,2
546,STARKE HOSPITAL,102 E CULVER RD,KNOX,IN,46534,STARKE,5747721102,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
547,HARRINGTON MEMORIAL HOSPITAL-1,100 SOUTH STREET,SOUTHBRIDGE,MA,1550,WORCESTER,5087659771,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
548,ST MARY'S HOSPITAL AT AMSTERDAM,427 GUY PARK AVENUE,AMSTERDAM,NY,12010,MONTGOMERY,5188417101,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
549,BECKLEY ARH HOSPITAL,306 STANAFORD ROAD,BECKLEY,WV,25801,RALEIGH,3042553456,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
550,SAINT LUKES NORTHLAND HOSPITAL,5830 N W BARRY ROAD,KANSAS CITY,MO,64154,PLATTE,8168916000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
551,LIBERTY DAYTON REGIONAL MEDICAL CENTER,1353 N TRAVIS ST,LIBERTY,TX,77575,LIBERTY,9363367316,Critical Access Hospitals,Proprietary,TRUE,TRUE,Not Available
552,ST MARYS HOSPITAL OF SUPERIOR,3500 TOWER AVE,SUPERIOR,WI,54880,DOUGLAS,7158177000,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
553,SAINT JOSEPH EAST,150 NORTH EAGLE CREEK DRIVE,LEXINGTON,KY,40509,FAYETTE,8599675000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,2
554,THREE RIVERS HEALTH,701 S HEALTH PARKWAY,THREE RIVERS,MI,49093,SAINT JOSEPH,2692739602,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3
555,JASPER GENERAL HOSPITAL,15 SOUTH 6TH STREET,BAY SPRINGS,MS,39422,JASPER,6017642101,Acute Care Hospitals,Government - Local,FALSE,TRUE,Not Available
556,METHODIST HEALTHCARE - OLIVE BRANCH HOSPITAL,4250 BETHEL ROAD,OLIVE BRANCH,MS,38654,DESOTO,6629329000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
557,HOSPITAL SAN FRANCISCO,371 DE DIEGO AVE,SAN JUAN,PR,923,SAN JUAN,7877675100,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available
558,UNITED HOSPITAL SYSTEM,6308 EIGHTH AVE,KENOSHA,WI,53143,KENOSHA,2626562011,Acute Care Hospitals,Government - Local,TRUE,TRUE,3
559,CHILDREN'S HEALTHCARE OF ATLANTA AT EGLESTON,"1405 CLIFTON ROAD, NE",ATLANTA,GA,30322,DEKALB,4047856101,Childrens,Voluntary non-profit - Other,TRUE,TRUE,Not Available
560,CHATHAM HOSPITAL INC,475 PROGRESS BLVD,SILER CITY,NC,27344,CHATHAM,9196632113,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
